Tab.2.5.48,,,,,,,,
,,,,,,,,
Ausländische Hochschulabsolventinnen und -absolventen in Deutschland nach Fächergruppen und ausgewählten Herkunftsstaaten 1),,,,,,,,
,,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Ingenieurwissenschaften,"Kunst, Kunstwissenschaften"
,2006,3,2,2,-,-,3,3
,2007,6,3,1,2,-,7,9
,2008,2,2,2,4,1,6,2
,2009,z,z,z,z,z,z,z
,2010,4,3,-,1,-,4,5
,2011,1,5,1,-,-,5,6
,2012,2,3,5,-,1,5,7
,2013,z,z,z,z,z,z,z
,2014,2,2,6,2,-,4,12
,2015,2,2,6,1,-,4,12
,2016,-,7,1,2,-,10,6
,2017,1,2,4,3,-,10,10
,2018,z,z,z,z,z,z,z
,2019,2,9,2,1,-,6,17
    Montenegro,1997,m,m,m,m,m,m,m
,1998,m,m,m,m,m,m,m
,1999,m,m,m,m,m,m,m
,2000,m,m,m,m,m,m,m
,2001,m,m,m,m,m,m,m
,2002,m,m,m,m,m,m,m
,2003,m,m,m,m,m,m,m
,2004,m,m,m,m,m,m,m
,2005,m,m,m,m,m,m,m
,2006,m,m,m,m,m,m,m
,2007,-,-,2,-,-,-,-
,2008,2,8,8,2,-,6,3
,2009,3,9,5,2,-,7,1
,2010,1,7,4,-,-,3,1
,2011,2,5,3,-,-,3,1
,2012,z,z,z,z,z,z,z
,2013,3,11,2,-,1,8,-
,2014,11,16,4,-,-,12,1
,2015,5,16,4,1,-,12,1
,2016,5,19,3,-,-,12,-
,2017,7,21,5,3,1,28,-
,2018,9,21,6,2,-,14,-
,2019,13,31,7,1,1,15,1
    Nordmazedonien,1997,2,-,2,2,-,2,1
,1998,-,1,1,-,-,3,1
,1999,2,-,-,-,-,2,2
,2000,2,4,1,2,-,7,2
,2001,2,4,3,3,-,13,-
,2002,7,13,4,6,1,9,6
,2003,6,12,7,2,1,15,4
,2004,10,14,11,4,-,18,4
,2005,22,38,13,7,3,25,7
,2006,8,19,18,8,1,20,4
,2007,16,27,20,8,1,19,6
,2008,13,34,20,6,1,18,6
,2009,10,34,28,5,2,23,4
,2010,12,40,19,8,2,26,3
,2011,9,27,29,4,-,19,12
,2012,16,33,28,4,1,14,7
,2013,21,39,22,6,-,23,6
,2014,18,46,27,7,1,26,3
,2015,13,46,27,3,1,26,3
,2016,20,49,16,4,3,38,4
,2017,15,48,13,5,4,58,7
,2018,15,50,24,5,3,41,3
,2019,17,53,17,16,2,62,4
    Norwegen,1997,7,27,6,39,5,12,7
,1998,4,26,5,27,8,7,3
,1999,6,24,3,41,9,11,2
,2000,10,21,4,51,8,7,5
,2001,5,17,5,61,13,4,3
,2002,6,13,9,63,9,6,5
,2003,8,12,3,65,13,12,8
,2004,10,15,7,49,17,2,5
,2005,5,27,9,51,11,2,9
,2006,7,10,12,39,9,6,8
,2007,7,17,7,42,7,6,4
,2008,8,17,6,42,3,1,7
,2009,5,16,8,31,6,4,10
,2010,8,14,7,15,7,4,10
,2011,7,19,8,19,5,5,-
,2012,7,21,5,17,2,6,4
,2013,7,19,5,7,3,5,16
,2014,8,21,3,14,1,7,13
,2015,8,21,3,16,1,7,13
,2016,7,28,6,12,1,4,8
,2017,4,34,10,9,3,12,12
,2018,11,36,10,4,-,13,9
,2019,6,40,12,4,2,9,10
    Russische Föderation,1997,38,33,27,27,2,26,36
,1998,29,49,40,29,-,35,51
,1999,31,65,52,35,5,36,64
,2000,61,106,60,47,1,57,66
,2001,78,132,70,39,3,61,85
,2002,97,189,88,33,3,56,62
,2003,109,193,136,38,6,89,101
,2004,113,295,183,41,10,103,108
,2005,167,396,214,67,13,110,120
,2006,255,427,239,75,12,143,158
,2007,275,547,224,63,18,158,115
,2008,369,556,286,69,19,130,125
,2009,390,708,265,60,21,136,139
,2010,455,726,309,48,33,188,129
,2011,496,795,324,56,33,221,145
,2012,520,862,310,68,28,253,177
,2013,507,856,333,55,43,282,151
,2014,518,902,388,55,44,349,177
,2015,518,902,388,68,39,349,177
,2016,369,1067,229,71,32,532,181
,2017,394,1064,268,51,49,543,191
,2018,397,972,234,80,36,575,185
,2019,353,1002,255,74,45,599,201
    Schweiz,1997,30,49,21,6,4,22,29
,1998,29,51,13,6,9,22,34
,1999,42,44,17,3,8,21,43
,2000,49,46,22,2,12,24,50
,2001,39,38,28,3,7,19,51
,2002,37,45,20,6,4,28,52
,2003,38,42,26,3,7,14,57
,2004,47,55,24,4,2,20,48
,2005,47,74,31,4,5,44,60
,2006,50,64,39,8,4,39,49
,2007,51,67,31,9,10,43,52
,2008,75,82,34,15,6,44,69
,2009,77,89,47,28,7,42,72
,2010,71,99,45,13,7,44,66
,2011,83,99,48,25,8,62,64
,2012,78,118,56,14,16,58,89
,2013,95,111,58,23,9,62,85
,2014,107,119,59,33,9,71,79
,2015,102,119,59,36,14,71,79
,2016,77,195,41,38,16,83,68
,2017,62,210,52,33,16,91,83
,2018,67,232,44,33,15,84,72
,2019,81,234,57,58,18,94,79
    Türkei,1997,120,326,127,62,7,341,27
,1998,117,368,124,46,9,364,21
,1999,159,436,133,66,23,378,30
,2000,148,537,148,102,11,435,26
,2001,142,600,152,136,13,457,36
,2002,151,627,161,162,17,477,36
,2003,169,681,185,176,16,524,46
,2004,211,729,221,138,23,468,40
,2005,216,773,301,138,17,578,46
,2006,191,748,351,117,17,574,49
,2007,216,851,351,129,15,607,49
,2008,226,822,378,131,14,580,54
,2009,239,848,441,124,20,606,58
,2010,277,814,456,91,14,651,48
,2011,330,979,502,90,29,819,57
,2012,364,1026,520,89,17,871,93
,2013,377,1050,621,74,15,1010,66
,2014,410,1073,608,89,20,1054,63
,2015,490,1073,608,90,21,1054,63
,2016,332,1329,351,116,29,1551,77
,2017,385,1358,365,110,32,1626,80
,2018,372,1378,360,126,18,1656,103
,2019,434,1429,382,105,26,1857,104
    Ukraine,1997,4,4,6,5,-,8,7
,1998,3,7,12,6,-,7,16
,1999,16,10,22,16,-,20,13
,2000,12,41,31,17,4,16,14
,2001,48,46,20,3,3,20,28
,2002,39,99,47,27,3,41,31
,2003,42,110,67,34,1,52,39
,2004,64,123,114,30,8,56,48
,2005,78,170,141,43,11,71,50
,2006,116,227,136,41,9,84,69
,2007,187,302,179,69,11,95,50
,2008,240,386,198,42,16,110,81
,2009,262,491,204,46,11,132,70
,2010,281,562,233,46,21,126,68
,2011,274,560,219,53,41,158,60
,2012,321,614,250,50,28,191,70
,2013,316,566,235,47,32,177,75
,2014,340,575,234,44,17,210,74
,2015,295,575,234,35,34,210,74
,2016,220,655,154,42,22,315,73
,2017,284,676,125,39,18,330,81
,2018,226,666,130,42,23,334,86
,2019,233,614,119,59,20,360,79
    Sonstige Nicht-EU-Staaten,1997,50,64,28,16,6,89,20
,1998,46,77,31,12,3,77,24
,1999,44,77,37,28,7,88,32
,2000,52,65,43,34,6,64,28
,2001,19,130,71,40,6,99,23
,2002,64,126,46,43,9,84,29
,2003,64,134,51,32,8,87,37
,2004,83,125,77,31,17,95,55
,2005,92,177,97,40,7,69,50
,2006,90,209,108,27,12,86,58
,2007,145,251,96,44,10,117,54
,2008,194,232,129,43,10,82,67
,2009,z,z,z,z,z,z,z
,2010,202,314,153,31,14,109,66
,2011,179,395,156,33,19,132,58
,2012,z,z,z,z,z,z,z
,2013,z,z,z,z,z,z,z
,2014,236,362,164,43,19,173,52
,2015,192,580,290,33,14,228,64
,2016,159,512,94,52,9,317,58
,2017,136,513,121,50,26,371,86
,2018,z,z,z,z,z,z,z
,2019,161,550,165,65,18,453,85
Afrika,1997,72,89,137,61,64,322,9
,1998,95,105,152,50,71,335,6
,1999,83,115,162,59,69,454,9
,2000,110,138,188,73,82,505,14
,2001,107,159,214,52,89,501,9
,2002,117,218,261,78,78,470,14
,2003,131,237,283,56,120,539,14
,2004,156,230,339,69,143,692,6
,2005,179,282,441,70,168,735,11
,2006,176,282,425,94,118,769,16
,2007,178,332,550,100,109,729,14
,2008,158,352,506,105,121,874,15
,2009,189,407,568,101,127,970,14
,2010,215,439,586,120,135,1075,5
,2011,295,491,655,118,108,1293,16
,2012,242,555,586,124,139,1301,17
,2013,218,578,593,143,109,1267,15
,2014,281,593,564,148,115,1200,18
,2015,277,662,622,135,142,1311,28
,2016,195,733,329,145,126,1755,27
,2017,216,755,385,165,130,1685,21
,2018,239,792,374,134,156,1813,28
,2019,278,951,442,172,161,2202,37
    Ägypten,1997,6,6,11,1,1,23,3
,1998,6,6,20,3,2,21,1
,1999,5,9,9,8,3,34,3
,2000,12,10,15,9,5,18,3
,2001,7,6,29,3,5,20,1
,2002,13,10,41,10,15,29,3
,2003,19,3,35,11,16,26,3
,2004,24,6,65,12,21,26,1
,2005,24,15,69,20,24,49,-
,2006,21,10,30,8,8,36,5
,2007,12,16,52,10,7,32,2
,2008,14,14,33,11,8,39,2
,2009,21,9,35,15,12,45,1
,2010,19,19,55,7,10,48,1
,2011,29,22,117,20,19,99,1
,2012,26,32,77,23,20,94,5
,2013,29,38,74,15,13,99,3
,2014,37,42,78,19,10,116,6
,2015,41,55,103,22,18,169,7
,2016,28,78,74,30,7,236,13
,2017,29,87,65,42,8,282,6
,2018,44,111,75,38,14,274,8
,2019,40,134,85,54,15,343,12
    Marokko,1997,7,10,24,3,2,88,-
,1998,19,13,32,2,1,126,-
,1999,11,15,47,2,3,199,-
,2000,22,33,46,4,5,237,-
,2001,27,25,52,6,7,193,1
,2002,24,46,62,7,4,180,1
,2003,23,48,67,10,7,210,2
,2004,14,45,69,9,7,220,-
,2005,26,59,90,1,4,254,5
,2006,26,67,113,7,8,239,1
,2007,28,59,134,7,6,219,2
,2008,37,88,130,10,4,304,4
,2009,54,114,133,8,3,386,-
,2010,52,91,156,14,2,365,1
,2011,43,97,137,6,4,400,2
,2012,55,114,118,8,6,387,2
,2013,48,115,123,13,6,305,3
,2014,49,92,76,9,2,272,1
,2015,38,96,95,11,1,257,2
,2016,20,80,29,11,3,317,-
,2017,17,92,42,3,2,242,2
,2018,21,69,29,8,2,268,2
,2019,25,94,39,7,3,302,5
    Sonstige Staaten in Afrika,1997,59,73,102,57,61,211,6
,1998,70,86,100,45,68,188,5
,1999,67,91,106,49,63,221,6
,2000,76,95,127,60,72,250,11
,2001,73,128,133,43,77,288,7
,2002,80,162,158,61,59,261,10
,2003,89,186,181,35,97,303,9
,2004,118,179,205,48,115,446,5
,2005,129,208,282,49,140,432,6
,2006,129,205,282,79,102,494,10
,2007,138,257,364,83,96,478,10
,2008,107,250,343,84,109,531,9
,2009,114,284,400,78,112,539,13
,2010,144,329,375,99,123,662,3
,2011,223,372,401,92,85,794,13
,2012,161,409,391,93,113,820,10
,2013,141,425,396,115,90,863,9
,2014,195,459,410,120,103,812,11
,2015,198,511,424,102,123,885,19
,2016,147,575,226,104,116,1202,14
,2017,170,576,278,120,120,1161,13
,2018,174,612,270,88,140,1271,18
,2019,213,723,318,111,143,1557,20
Amerika,1997,121,123,109,41,34,115,67
,1998,121,142,95,45,37,128,71
,1999,126,145,121,37,57,122,71
,2000,137,144,102,43,47,98,97
,2001,137,183,100,34,38,124,98
,2002,150,196,120,47,46,150,81
,2003,114,222,127,37,70,182,104
,2004,149,282,158,40,61,220,113
,2005,201,349,230,48,73,240,118
,2006,184,383,216,56,69,292,132
,2007,215,446,259,77,75,327,157
,2008,211,519,270,48,81,361,162
,2009,267,553,327,63,97,349,174
,2010,290,618,314,81,88,413,177
,2011,339,704,347,73,112,468,194
,2012,346,747,389,73,114,539,212
,2013,396,840,422,92,160,625,219
,2014,450,956,447,110,134,656,228
,2015,450,985,512,105,149,701,255
,2016,405,1159,394,123,143,852,286
,2017,439,1245,447,148,205,1067,276
,2018,498,1464,507,152,214,1142,315
,2019,538,1553,613,172,226,1213,363
    Brasilien,1997,24,21,21,11,6,14,10
,1998,22,19,21,7,15,22,24
,1999,19,20,27,3,13,19,19
,2000,19,20,17,7,6,20,26
,2001,31,27,15,5,8,23,26
,2002,29,25,18,6,11,28,22
,2003,22,33,29,6,15,28,26
,2004,28,37,23,6,9,31,21
,2005,42,54,29,8,11,39,21
,2006,28,47,28,11,10,31,28
,2007,47,75,41,8,9,38,27
,2008,39,91,43,1,15,64,29
,2009,36,104,50,14,14,55,38
,2010,46,108,47,16,11,73,41
,2011,67,123,51,11,17,62,46
,2012,61,126,61,7,16,77,41
,2013,58,129,58,18,14,81,42
,2014,73,153,63,8,12,89,50
,2015,53,162,63,11,16,104,57
,2016,56,172,50,17,17,108,52
,2017,55,150,64,21,17,133,48
,2018,63,240,60,16,18,151,55
,2019,70,237,80,22,24,197,75
    Kolumbien,1997,11,6,5,3,3,8,4
,1998,4,9,8,4,-,10,2
,1999,7,12,8,1,4,3,3
,2000,8,11,11,3,4,9,7
,2001,7,7,6,2,1,9,4
,2002,8,20,7,1,3,9,1
,2003,7,27,10,2,5,16,7
,2004,7,22,22,2,3,29,9
,2005,15,35,29,2,11,23,20
,2006,20,51,20,4,9,40,9
,2007,17,57,26,4,9,53,19
,2008,19,63,31,2,8,60,20
,2009,32,73,48,6,18,57,15
,2010,26,78,50,6,12,93,30
,2011,36,96,48,7,17,82,24
,2012,39,104,55,3,17,90,27
,2013,44,117,76,7,17,129,28
,2014,56,125,77,11,24,116,39
,2015,51,147,72,8,21,123,55
,2016,42,174,61,11,27,176,49
,2017,54,178,76,13,36,208,57
,2018,59,212,82,13,29,246,65
,2019,49,232,103,18,26,252,64
    Vereinigte Staaten,1997,51,47,25,15,3,34,23
,1998,51,54,21,24,3,22,24
,1999,59,50,35,22,6,30,21
,2000,51,47,28,22,10,23,32
,2001,62,51,22,15,11,25,25
,2002,62,58,22,20,8,21,22
,2003,44,54,25,10,9,23,25
,2004,47,60,43,20,6,22,28
,2005,61,86,44,21,10,22,22
,2006,57,80,39,20,11,18,28
,2007,50,80,39,35,7,23,35
,2008,70,99,60,22,7,30,39
,2009,75,115,49,17,13,30,38
,2010,97,119,55,32,13,30,39
,2011,101,147,66,31,17,36,44
,2012,109,165,66,31,17,66,54
,2013,122,191,81,29,27,77,51
,2014,146,201,76,29,22,85,58
,2015,162,217,105,32,21,85,46
,2016,148,262,81,24,22,92,46
,2017,181,332,91,51,53,134,58
,2018,193,379,117,48,46,142,69
,2019,213,383,154,46,59,149,71
    Sonstige Staaten in Amerika,1997,35,49,58,12,22,59,30
,1998,44,60,45,10,19,74,21
,1999,41,63,51,11,34,70,28
,2000,59,66,46,11,27,46,32
,2001,37,98,57,12,18,67,43
,2002,51,93,73,20,24,92,36
,2003,41,108,63,19,41,115,46
,2004,67,163,70,12,43,138,55
,2005,83,174,128,17,41,156,55
,2006,79,205,129,21,39,203,67
,2007,101,234,153,30,50,213,76
,2008,83,266,136,23,51,207,74
,2009,124,261,180,26,52,207,83
,2010,121,313,162,27,52,217,67
,2011,135,338,182,24,61,288,80
,2012,137,352,207,32,64,306,90
,2013,172,403,207,38,102,338,98
,2014,175,477,231,62,76,366,81
,2015,184,459,272,54,91,389,97
,2016,159,551,202,71,77,476,139
,2017,149,585,216,63,99,592,113
,2018,183,633,248,75,121,603,126
,2019,206,701,276,86,117,615,153
Asien,1997,356,357,563,402,139,868,427
,1998,306,406,493,386,110,788,461
,1999,326,407,527,354,137,735,498
,2000,353,446,491,379,90,741,549
,2001,326,540,548,362,135,771,621
,2002,327,695,588,337,114,980,613
,2003,392,801,768,332,140,1094,775
,2004,466,1050,884,344,157,1518,842
,2005,510,1357,1315,362,203,2012,894
,2006,578,1759,1540,361,221,2347,1091
,2007,688,2063,1866,390,242,2844,1153
,2008,884,2362,2010,386,269,3067,1203
,2009,976,2518,2118,411,302,3193,1234
,2010,962,2514,2250,472,320,3449,1261
,2011,1007,2705,2403,495,366,3964,1390
,2012,1091,2777,2328,533,351,4301,1328
,2013,1162,2915,2650,553,364,4695,1318
,2014,1315,3199,2750,582,422,5239,1382
,2015,1345,3425,3086,569,407,5837,1448
,2016,1046,3839,1888,668,443,8160,1469
,2017,1238,4237,2031,691,484,9194,1656
,2018,1183,4407,2118,669,469,10169,1837
,2019,1342,4920,2339,779,558,11673,1736
    China,1997,59,75,121,45,15,192,19
,1998,49,74,111,52,19,153,22
,1999,55,99,140,53,16,135,19
,2000,66,111,137,61,12,131,11
,2001,53,141,156,58,27,170,27
,2002,57,279,159,65,21,245,30
,2003,59,328,233,58,25,317,54
,2004,90,482,303,65,33,452,66
,2005,145,737,480,98,31,682,117
,2006,221,982,572,70,65,951,169
,2007,283,1119,825,85,68,1334,245
,2008,397,1370,879,75,72,1521,239
,2009,460,1371,850,97,87,1565,273
,2010,360,1242,919,78,79,1734,234
,2011,352,1179,895,93,89,1956,295
,2012,429,1188,854,95,75,2026,252
,2013,432,1169,890,98,102,2047,282
,2014,576,1201,933,120,112,2256,315
,2015,611,1200,972,126,114,2364,368
,2016,502,1442,677,131,132,3097,395
,2017,581,1585,725,127,127,3373,481
,2018,593,1685,761,144,123,3683,507
,2019,665,1668,853,197,143,4207,520
    Indien,1997,12,4,13,7,6,14,-
,1998,6,9,16,4,6,14,1
,1999,15,7,22,1,2,13,2
,2000,13,9,11,6,3,24,2
,2001,15,22,31,11,2,28,1
,2002,12,30,35,12,6,86,-
,2003,14,33,87,8,5,115,-
,2004,18,74,150,10,3,214,1
,2005,16,56,274,12,24,411,1
,2006,8,54,300,25,21,452,1
,2007,15,93,299,21,20,396,4
,2008,18,87,300,34,18,286,5
,2009,22,117,325,29,21,265,4
,2010,17,115,331,38,42,245,9
,2011,35,208,346,44,17,284,7
,2012,23,175,355,27,35,447,7
,2013,32,205,499,37,23,638,5
,2014,29,223,554,36,28,809,9
,2015,36,301,702,45,39,1130,13
,2016,21,345,330,50,42,1976,12
,2017,47,359,382,48,52,2271,19
,2018,44,466,409,51,57,2598,15
,2019,43,602,395,64,59,2952,31
    Indonesien,1997,9,20,39,1,46,115,6
,1998,5,17,48,4,18,107,2
,1999,10,23,30,2,52,112,2
,2000,10,22,37,3,15,76,3
,2001,10,39,49,-,36,109,6
,2002,5,45,42,1,25,128,4
,2003,9,47,56,7,27,151,7
,2004,23,31,48,7,28,166,3
,2005,21,40,67,8,42,191,10
,2006,17,68,60,4,30,188,6
,2007,13,80,73,13,19,179,4
,2008,14,149,98,15,22,213,7
,2009,14,140,93,15,25,187,8
,2010,31,133,74,24,22,192,9
,2011,26,216,90,26,40,183,10
,2012,34,199,87,26,38,154,14
,2013,26,214,99,16,31,163,15
,2014,28,315,98,25,38,156,11
,2015,55,319,95,20,37,181,10
,2016,23,312,47,31,40,247,9
,2017,33,349,53,23,28,292,23
,2018,22,204,62,33,30,394,21
,2019,27,237,85,34,45,481,18
"    Iran, Islamische Republik",1997,63,70,181,230,24,257,10
,1998,49,96,128,201,15,234,9
,1999,38,75,144,181,14,233,7
,2000,39,69,104,171,11,231,9
,2001,37,70,93,172,8,175,13
,2002,40,61,94,125,11,153,14
,2003,41,54,111,121,10,136,7
,2004,41,63,88,103,9,102,11
,2005,27,41,99,72,11,110,14
,2006,33,63,101,78,6,98,13
,2007,30,63,126,62,15,155,10
,2008,36,76,136,63,20,194,12
,2009,33,80,137,46,17,196,12
,2010,37,88,165,52,16,185,11
,2011,61,88,181,40,18,267,24
,2012,44,76,174,49,19,286,22
,2013,54,123,223,60,24,352,31
,2014,78,102,228,54,30,365,41
,2015,61,179,288,50,21,412,33
,2016,61,121,201,34,30,532,44
,2017,69,142,207,40,45,620,56
,2018,72,147,211,52,40,573,74
,2019,75,172,234,42,47,702,64
    Japan,1997,17,10,4,2,-,4,120
,1998,12,17,7,4,2,3,133
,1999,13,9,3,-,5,-,136
,2000,23,10,6,3,3,8,148
,2001,25,15,6,4,4,2,159
,2002,22,12,7,-,3,7,161
,2003,28,21,14,3,4,5,186
,2004,42,26,11,5,7,16,185
,2005,37,23,15,3,2,6,178
,2006,41,30,21,8,8,11,236
,2007,47,24,21,6,4,15,204
,2008,56,27,25,1,7,21,194
,2009,46,33,19,6,7,22,185
,2010,49,34,20,4,3,22,205
,2011,45,26,20,1,9,16,200
,2012,52,28,19,10,4,17,196
,2013,60,29,24,7,-,13,185
,2014,49,31,20,4,3,15,216
,2015,48,36,26,5,7,16,190
,2016,37,42,24,7,4,19,162
,2017,31,33,14,4,13,27,196
,2018,21,40,17,8,6,23,168
,2019,40,54,26,8,7,21,184
    Korea,1997,121,61,43,8,2,44,205
,1998,108,59,33,13,9,33,220
,1999,119,69,32,12,8,33,240
,2000,106,63,47,13,7,25,281
,2001,104,64,34,18,5,26,295
,2002,92,57,39,20,4,27,307
,2003,96,63,37,12,3,34,396
,2004,115,72,30,14,5,53,439
,2005,94,72,37,25,8,51,459
,2006,77,70,43,17,5,43,498
,2007,82,78,59,16,6,46,549
,2008,90,60,39,14,5,52,562
,2009,93,71,45,16,9,66,591
,2010,92,77,51,25,5,76,604
,2011,86,94,30,23,7,60,636
,2012,73,78,44,25,8,75,627
,2013,78,82,38,19,7,85,564
,2014,89,80,32,20,7,82,602
,2015,61,91,39,25,7,91,557
,2016,60,98,57,35,7,105,588
,2017,62,119,44,19,7,145,632
,2018,53,146,39,36,14,129,740
,2019,55,169,66,36,23,137,627
    Sonstige Staaten in Asien,1997,75,117,162,109,46,242,67
,1998,77,134,150,108,41,244,74
,1999,76,125,156,105,40,209,92
,2000,96,162,149,122,39,246,95
,2001,82,189,179,99,53,261,120
,2002,99,211,212,114,44,334,97
,2003,145,255,230,123,66,336,125
,2004,137,302,254,140,72,515,137
,2005,170,388,343,144,85,561,115
,2006,181,492,443,159,86,604,168
,2007,218,606,463,187,110,719,137
,2008,273,593,533,184,125,780,184
,2009,308,706,649,202,136,892,161
,2010,376,825,690,251,153,995,189
,2011,402,894,841,268,186,1198,218
,2012,436,1033,795,301,172,1296,210
,2013,480,1093,877,316,177,1397,236
,2014,466,1247,885,323,204,1556,188
,2015,473,1299,964,298,182,1643,277
,2016,342,1479,552,380,188,2184,259
,2017,415,1650,606,430,212,2466,249
,2018,378,1719,619,345,199,2769,312
,2019,437,2018,680,398,234,3173,292
Australien/Ozeanien,1997,6,1,2,2,-,2,13
,1998,2,3,1,4,-,2,13
,1999,2,2,3,2,-,2,11
,2000,7,5,2,3,2,4,13
,2001,-,7,5,-,1,3,6
,2002,1,3,2,1,-,2,9
,2003,5,7,4,2,1,3,16
,2004,2,6,4,1,1,8,13
,2005,6,9,12,1,3,3,13
,2006,2,8,15,1,-,5,24
,2007,7,15,7,2,2,5,15
,2008,10,12,9,3,4,4,24
,2009,5,14,6,1,-,1,19
,2010,10,14,11,3,2,7,28
,2011,11,24,18,3,5,10,18
,2012,9,21,21,4,-,8,25
,2013,13,30,8,6,4,20,28
,2014,12,29,14,4,5,13,38
,2015,12,37,22,5,2,15,29
,2016,16,28,14,7,9,26,23
,2017,16,46,17,5,5,38,28
,2018,20,60,19,7,4,31,31
,2019,25,51,24,7,3,36,19
Staaten insgesamt 5),1997,1655,2364,1580,967,334,2717,998
,1998,1632,2758,1537,919,327,2691,1102
,1999,1799,2825,1687,997,408,2832,1210
,2000,1996,3264,1733,1142,394,2960,1302
,2001,2042,3627,1957,1136,428,3163,1450
,2002,2223,4276,2158,1199,397,3438,1418
,2003,2391,4810,2549,1137,525,3773,1779
,2004,2721,5678,3104,1193,581,4403,1907
,2005,3327,6897,4191,1346,679,5231,2061
,2006,3592,7558,4662,1317,657,5801,2384
,2007,4035,8936,5342,1533,688,6599,2438
,2008,4755,9448,5687,1554,753,7004,2595
,2009,4980,10373,5933,1714,806,7240,2665
,2010,5224,10579,6254,2001,807,7986,2621
,2011,5414,11236,6547,2053,969,9195,2918
,2012,5667,11725,6649,1710,926,9875,3026
,2013,5779,12063,7047,1694,960,10774,3032
,2014,6318,12450,7376,1896,1047,11485,3099
,2015,6273,13294,8081,1846,1105,12456,3379
,2016,4812,15257,5250,2089,1123,17198,3383
,2017,5254,16032,5655,2209,1266,18597,3720
,2018,5343,16436,5794,2321,1296,19817,3993
,2019,5739,17456,6415,2638,1376,22430,3952
,,,,,,,,
"Source: Federal Statistical Office (special evaluation, Fachserie 11 Reihe 4.2)",,,,,,,,
,,,,,,,,
Notes:,,,,,,,,
"1) Die ab dem Prüfungsjahr 2016 gültige Fächersystematik bewirkt eine teilweise Neuzuordnung von Studienbereichen zu Fächergruppen (siehe Quelle). Die aktuellen Ergebnisse nach einzelnen Fächergruppen sind daher nur eingeschränkt mit den Vorjahren vergleichbar. Die bis 2015 separat nachgewiesene Fächergruppe ""Veterinärmedizin"" ist ab 2016 in der Fächergruppe ""Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"" aufgegangen; die Zuordnung ist hierfür rückwirkend für alle dargestellten Jahre umgesetzt.",,,,,,,,
2) Einschließlich Sport und sonstige Fächer.,,,,,,,,
3) Winter- und folgendes Sommersemester (z. B. 1997 = Wintersemester 1996/1997 und Sommersemester 1997).,,,,,,,,
4) Die Kategorien EU-Staaten sowie Nicht-EU-Staaten geben den im jeweiligen Referenzjahr gültigen Stand der EU-Mitgliedschaft der europäischen Staaten wieder.,,,,,,,,
5) Einschließlich ohne Angabe und Staatenlose.,,,,,,,,
,,,,,,,,
- = Keine Daten auszuweisen oder 0.,,,,,,,,
m = Daten nicht verfügbar.,,,,,,,,
"z = Aus Gründen der Vertraulichkeit nicht ausgewiesen, aber in der Gesamtsumme vorhanden.",,,,,,,,
,,,,,,,,
"Results of the ICE-BMBF's ICE-Database of the Federal Ministry of Education and Research (BMBF) (ICE = Information, Controlling, Entscheidung)",,,,,,,,
"A system of the German Centre for Higher Education Research and Science Studies (DZHW), http://www.dzhw.eu/en/index_html",,,,,,,,
,,,,,,,,
Last update: September 2020,,,,,,,,
,,,,,,,,
This work is licensed under a Data licence Germany attribution 2.0.,,,,,,,,
(https://www.govdata.de/dl-de/by-2-0),,,,,,,,
